,,Current Available Card Pool,
,,"Tier SSSSS (0% Drop Rate, Special Events Only)",Notes
Tier,Card ID,Card Name,
SSSSS,10875327,Earthbound Immortal Aslla Piscu,
SSSSS,46263076,Earthbound Immortal Ccapac Apu,
SSSSS,15187079,Earthbound Immortal Uru,
SSSSS,41181774,Earthbound Immortal Wiraqocha Rasca,
SSSSS,79868386,Fist of Fate,
SSSSS,32491822,"Hamon, Lord of Striking Thunder",
SSSSS,10000000,Obelisk the Tormentor,
SSSSS,74875003,Ra's Disciple,
SSSSS,69890967,"Raviel, Lord of Phantasms",
SSSSS,10000020,Slifer the Sky Dragon,
SSSSS,5253985,Soul Crossing,
SSSSS,21208154,The Wicked Avatar,
SSSSS,62180201,The Wicked Dreadroot,
SSSSS,57793869,The Wicked Eraser,
SSSSS,10000010,The Winged Dragon of Ra,
SSSSS,42469671,Thunderforce Attack,
SSSSS,55557574,Thunderspeed Summon,
SSSSS,6007213,"Uria, Lord of Searing Flames",
,,Tier SSSS (1% Drop Rate),Notes
Tier,Card ID,Card Name,
SSSS,99004583,Action Magic - Full Turn,
SSSS,86120751,Aleister the Invoker,
SSSS,810000042,Amplifier (Anime),
SSSS,87624166,Ancient Forest,
SSSS,44052074,Ancient Gear Catapult,
SSSS,39260991,Aquaactress Tetra,
SSSS,91831066,Aquarium Lighting,
SSSS,29047353,Aquarium Stage,
SSSS,69831560,Arcana Force EX - The Dark Ruler,
SSSS,84425220,Armed Dragon LV10 - White,
SSSS,170000207,Backup Gardna,
SSSS,40633297,Bad Reaction to Simochi,
SSSS,6628343,Beginning Knight,
SSSS,94662235,Bending Destiny,
SSSS,71645242,Black garden,
SSSS,54484652,Black Luster Soldier - Super Soldier,
SSSS,72930878,Black Sonic,
SSSS,26302522,Blast Sphere,
SSSS,170000119,Blasting Vein,
SSSS,52198054,Blaze Accelerator Reload,
SSSS,75249652,Blazing Mirror Force,
SSSS,22802010,Blind Obliteration,
SSSS,38517737,Blue-Eyes Alternative White Dragon,
SSSS,9715126,Boot-Up Order - Gear Force,
SSSS,29401950,Bottomless Trap Hole,
SSSS,511000086,Bounce Spell,
SSSS,58531587,Bubble Bringer,
SSSS,511000671,Burning Soul Sword,
SSSS,17655904,Burst Stream of Destruction,
SSSS,110000117,Buster Pyle,
SSSS,24224830,Called by the Grave,
SSSS,72892473,Card Destruction,
SSSS,82301904,Chaos Emperor Dragon - Envoy of the End,
SSSS,15256925,Chaos Scepter Blast,
SSSS,67616300,Chicken Game,
SSSS,511007018,Common Sacrifice (Anime),
